algorithm,n,type,domain,sample,status,time_seconds,max_rss_kb,error
strassen,256,diagonal,D10,c,OK,2.26429,7552,
naive,256,dispersa,D0,a,OK,0.00668417,4224,
strassen,256,dispersa,D0,a,OK,2.29985,7552,
naive,256,dispersa,D0,b,OK,0.00638351,4224,
strassen,256,dispersa,D0,b,OK,2.26968,7552,
naive,256,dispersa,D0,c,OK,0.00609765,4224,
strassen,256,dispersa,D0,c,OK,2.25262,7552,
naive,256,dispersa,D10,a,OK,0.0066962,4224,
strassen,256,dispersa,D10,a,OK,2.26415,7552,
naive,256,dispersa,D10,b,OK,0.00673208,4224,
strassen,256,dispersa,D10,b,OK,2.26868,7424,
naive,256,dispersa,D10,c,OK,0.00650253,4224,
strassen,256,dispersa,D10,c,OK,2.26224,7552,
naive,64,densa,D0,a,OK,8.7524e-05,3584,
strassen,64,densa,D0,a,OK,0.0466861,3968,
naive,64,densa,D0,b,OK,8.7587e-05,3584,
strassen,64,densa,D0,b,OK,0.0472421,3968,
naive,64,densa,D0,c,OK,0.00025535,3584,
strassen,64,densa,D0,c,OK,0.046746,3968,
naive,64,densa,D10,a,OK,9.581e-05,3584,
strassen,64,densa,D10,a,OK,0.0454725,3968,
naive,64,densa,D10,b,OK,8.8281e-05,3584,
strassen,64,densa,D10,b,OK,0.0462347,3968,
naive,64,densa,D10,c,OK,8.7354e-05,3584,
strassen,64,densa,D10,c,OK,0.0469803,3968,
naive,64,diagonal,D0,a,OK,0.000206483,3584,
strassen,64,diagonal,D0,a,OK,0.0458048,3968,
naive,64,diagonal,D0,b,OK,8.7233e-05,3584,
strassen,64,diagonal,D0,b,OK,0.0471049,3968,
naive,64,diagonal,D0,c,OK,8.7185e-05,3584,
strassen,64,diagonal,D0,c,OK,0.0461549,3968,
naive,64,diagonal,D10,a,OK,8.7421e-05,3584,
strassen,64,diagonal,D10,a,OK,0.0459711,3968,
naive,64,diagonal,D10,b,OK,8.7382e-05,3584,
strassen,64,diagonal,D10,b,OK,0.0456094,3968,
naive,64,diagonal,D10,c,OK,8.7343e-05,3584,
strassen,64,diagonal,D10,c,OK,0.0481932,3968,
naive,64,dispersa,D0,a,OK,9.3842e-05,3584,
strassen,64,dispersa,D0,a,OK,0.0466775,3968,
naive,64,dispersa,D0,b,OK,8.8732e-05,3584,
strassen,64,dispersa,D0,b,OK,0.0474586,3968,
naive,64,dispersa,D0,c,OK,8.7088e-05,3584,
strassen,64,dispersa,D0,c,OK,0.0465435,3968,
naive,64,dispersa,D10,a,OK,8.7269e-05,3584,
strassen,64,dispersa,D10,a,OK,0.0466033,3968,
naive,64,dispersa,D10,b,OK,8.7653e-05,3584,
strassen,64,dispersa,D10,b,OK,0.046241,3968,
naive,64,dispersa,D10,c,OK,9.2213e-05,3584,
strassen,64,dispersa,D10,c,OK,0.0478343,3968,
naive,1024,densa,D10,b,OK,0.878462,15872,
naive,1024,densa,D10,a,OK,0.863548,15872,
strassen,256,densa,D0,b,OK,2.26178,7552,
